iter	RMSE
225	192.1982863
226	191.6612074
227	191.4490451
228	191.2388694
229	191.0649707
230	190.7018006
231	190.5246555
232	190.2038403
233	189.7599005
234	189.3977018
235	189.0264465
236	188.7312177
237	188.4172728
238	188.135583
239	187.8918344
240	187.7934291
241	187.5238026
242	187.3631728
243	187.0403586
244	186.8474087
245	186.5405671
246	186.2088475
247	185.8113019
248	185.5972302
249	185.0357635
250	184.7474239
251	184.533266
252	184.3884597
253	184.15258
254	183.8840331
255	183.5954964
256	183.3841713
257	183.0247743
258	182.9145872
259	182.6982101
260	182.4161353
261	182.2275615
262	181.8791643
263	181.5842998
264	181.3932686
265	181.0479889
266	180.8998376
267	180.7205329
268	180.5244332
269	180.1819023
270	179.8534468
271	179.512635
272	179.2094167
273	178.8713955
274	178.5613113
275	178.059457
276	177.7602678
277	177.5951473
278	177.4127581
279	177.2667276
280	177.0887193
281	176.8058097
282	176.6331586
283	176.4481912
284	175.8330921
285	175.5368144
286	175.3773356
287	175.1622135
288	175.0371756
289	174.8246323
290	174.4626479
291	174.2495615
292	173.8425581
293	173.6676795
294	173.4294696
295	173.3453218
296	173.0401699
297	172.8515035
298	172.6349637
299	172.4868648
300	172.1227024
301	171.8503065
302	171.7103749
303	171.1712122
304	170.7980537
305	170.7499422
306	170.5301745
307	170.4320057
308	170.2365194
309	170.1567489
310	169.9723372
311	169.5684802
312	169.2741398
313	168.9086627
314	168.6327188
315	168.3827294
316	168.1149897
317	167.9469732
318	167.7215467
319	167.5050182
320	167.2825667
321	167.1238139
322	166.7928261
323	166.5736425
324	166.4144518
325	166.297264
326	166.1177582
327	165.9980553
328	165.7664083
329	165.6306695
330	165.5145178
331	165.3913559
332	165.1832875
333	164.908802
334	164.6702053
335	164.5417998
336	164.3957286
337	164.2093889
338	163.8391398
339	163.7068383
340	163.5134843
341	163.2596662
342	163.1526442
343	162.9689752
344	162.8820607
345	162.6614607
346	162.3013856
347	161.7979731
348	161.6364315
349	161.4814513
350	161.3754577
351	161.1960554
352	161.1019722
353	160.8078169
354	160.7484315
355	160.5426266
356	160.439825
357	160.1365472
358	160.0172329
359	159.8978293
360	159.6440881
361	159.4821363
362	159.3395782
363	159.1913687
364	159.0306569
365	158.8838559
366	158.7287263
367	158.4320021
368	158.2332505
369	158.1332783
370	158.0406837
371	157.8145249
372	157.6919378
373	157.5207942
374	157.4154062
375	157.3490253
376	157.2289209
377	157.1318458
378	156.9578938
379	156.5967626
380	156.5305461
381	156.3225316
382	156.1219301
383	155.8612388
384	155.7099952
385	155.5311807
386	155.2198372
387	155.1164057
388	154.7920877
389	154.4044027
390	154.2811032
391	154.083683
392	153.9650866
393	153.6283867
394	153.5213113
395	153.386127
396	152.9779425
397	152.7599345
398	152.6287076
399	152.5588715
400	152.4339835
401	152.2960515
402	152.1248683
403	151.8026266
404	151.6000229
405	151.4472873
406	151.2618117
407	150.9308373
408	150.6933178
409	150.5671083
410	150.4678074
411	150.3300314
412	150.2291824
413	150.101324
414	150.017231
415	149.9563103
416	149.8521898
417	149.5581629
418	149.4252807
419	149.1240044
420	148.9890853
421	148.8277753
422	148.589674
423	148.5045948
424	148.4433825
425	148.2770419
426	148.1457317
427	147.9943103
428	147.9057903
429	147.7164187
430	147.5469215
431	147.491309
432	147.3680382
433	147.2634865
434	147.0553587
435	146.9468642
436	146.7183208
437	146.5781624
438	146.4774372
439	146.2765501
440	146.0120376
441	145.8737561
442	145.6739247
443	145.5522716
444	145.3643069
445	145.2681569
446	145.1801885
447	145.0489639
448	144.8135052
449	144.6701827
450	144.6053369
451	144.3605664
452	144.2381555
453	144.08707
454	143.9467443
455	143.7697844
456	143.486328
457	143.3420617
458	143.2753247
459	143.2006996
460	143.0385959
461	142.9429978
462	142.8416149
463	142.6337933
464	142.5370444
465	142.5041206
466	142.2687392
467	142.0264117
468	141.9718267
469	141.7686016
470	141.6297032
471	141.5278245
472	141.3391124
473	141.2295142
474	141.1407602
475	140.9225637
476	140.8532918
477	140.6073375
478	140.5110894
479	140.3003678
480	140.1860576
481	140.0216617
482	139.9029016
483	139.7873541
484	139.664853
485	139.4880567
486	139.3604605
487	139.1491244
488	139.032883
489	138.8409688
490	138.6829997
491	138.6375545
492	138.5053401
493	138.4442303
494	138.1745546
495	137.9158706
496	137.8536873
497	137.6714602
498	137.5936147
499	137.487803
